"product_id","product_category_name","product_name_length","product_description_length","product_photos_qty","product_weight_g","product_length_cm","product_height_cm","product_width_cm"
"0d826eba8e0a2ae3bca9e3a947dd756d","brinquedos",50.0,423.0,4.0,250.0,20.0,14.0,12.0
"f8f6fd145cc00519283cf3100477b2b3","esporte_lazer",47.0,956.0,1.0,1050.0,25.0,20.0,14.0
"4e04ffb7dd3739ecfc37de8927dd586c","papelaria",59.0,144.0,1.0,500.0,24.0,7.0,16.0
"36555a2f528d7b2a255c504191445d39","beleza_saude",51.0,1069.0,1.0,1467.0,23.0,16.0,20.0
"22937a73f92a33040ab4e2540355a5d8","fashion_bolsas_e_acessorios",50.0,554.0,3.0,100.0,16.0,5.0,11.0
"dc21247da0290904ffbbcd5953c76f95","papelaria",41.0,92.0,1.0,100.0,16.0,5.0,16.0
"9020ce7adcc384b2899ae87ddc54767b","papelaria",43.0,198.0,2.0,300.0,23.0,7.0,15.0
"bfc1d1c62b1f7f401d8d9dda962bb870","esporte_lazer",50.0,255.0,2.0,950.0,60.0,15.0,15.0
"6fef6d87bb6c2eb11d57a967209219a8","ferramentas_jardim",33.0,200.0,1.0,250.0,17.0,3.0,11.0
"1e5428c428e0f783acd6e3d94ba4ee2a","pcs",55.0,1067.0,1.0,12000.0,27.0,50.0,53.0
"94080f9219044d897195e2be145945dc","automotivo",60.0,1543.0,6.0,921.0,17.0,9.0,16.0
"d0389f20b3d11de54e1e4561df147683","casa_construcao",55.0,1441.0,1.0,10000.0,60.0,25.0,25.0
"3e9b58f1436820c248d3f98d7229bb14","relogios_presentes",56.0,489.0,2.0,250.0,16.0,11.0,11.0
"575c38b4c88fc7b35ef22fc8312bfe1b","cool_stuff",57.0,992.0,3.0,1200.0,44.0,20.0,20.0
"556702ebb73d3786a852ad3d5a8ad268","construcao_ferramentas_construcao",54.0,339.0,1.0,4800.0,25.0,8.0,25.0
"a3a03c131926ec14d4c9f3ef03016b24","pet_shop",54.0,463.0,1.0,700.0,40.0,20.0,20.0
"e586ebb6022265ae1eea38f46ffe3ead","beleza_saude",40.0,1469.0,3.0,1050.0,18.0,21.0,27.0
"278b3c6462e86b4556b99989513ddf73","eletroportateis",58.0,587.0,3.0,350.0,20.0,20.0,20.0
"0d009643171aee696f4733340bc2fdd0","perfumaria",52.0,150.0,1.0,422.0,21.0,16.0,18.0
"be1be330cf34043d1c40d6114cbd11b5","relogios_presentes",51.0,484.0,1.0,317.0,19.0,13.0,16.0
"07f01b6fcacc1b187a71e5074199db2d","agro_industria_e_comercio",39.0,430.0,1.0,16400.0,63.0,66.0,56.0
"75b4372e69a42f8ae1d908c076f547b2","beleza_saude",22.0,1313.0,1.0,938.0,29.0,22.0,23.0
"3569d4374a919941a50f57371b1dc93d","beleza_saude",37.0,1168.0,1.0,2700.0,21.0,16.0,31.0
"a3c95dc653d9a279b160bc0179385ed1","cama_mesa_banho",39.0,1146.0,1.0,1750.0,30.0,18.0,30.0
"0992c6cba95a13bfa68ea7d5e22d478b","ferramentas_jardim",42.0,671.0,1.0,3850.0,29.0,12.0,24.0
"b1eae565a61935e0011ee7682fef9dc9","perfumaria",49.0,460.0,2.0,267.0,17.0,13.0,17.0
"2734390ee304b0f4817b3c233094fc16","instrumentos_musicais",59.0,2367.0,3.0,16200.0,55.0,40.0,40.0
"32ee3f4e2493045726807808d7abbab6","cama_mesa_banho",54.0,381.0,2.0,1400.0,38.0,9.0,27.0
"c2367eda4f9623d0355dc5d7796d857a","cama_mesa_banho",50.0,607.0,1.0,6450.0,100.0,10.0,11.0
"7f34b85142d1ef9e077a0da9ada27385","moveis_decoracao",59.0,1750.0,3.0,2300.0,105.0,3.0,70.0
"c478b1bbf9ec8c5691f37ccb83187386","informatica_acessorios",55.0,163.0,2.0,300.0,25.0,8.0,18.0
"f9ecf420c38b90a8af8e7f70fd789264","esporte_lazer",43.0,101.0,1.0,600.0,50.0,10.0,12.0
"3a6a0247ced9dcb444b46caafdcdd368","beleza_saude",60.0,2497.0,1.0,3600.0,20.0,20.0,20.0
"adf591c625cb265c12bc6749d3a2f757","beleza_saude",60.0,1146.0,6.0,150.0,20.0,24.0,33.0
"3e0f398b664b26e3224c79dbf435191f","esporte_lazer",57.0,900.0,4.0,400.0,16.0,4.0,11.0
"64c8f1a52b407d92518a1f8b79240a70","telefonia",49.0,319.0,1.0,100.0,18.0,6.0,11.0
"af16005fca813272caf59c432153949e","moveis_decoracao",55.0,1186.0,2.0,800.0,53.0,8.0,20.0
"e6a1ff3552ba3305c1cf0a4dde50347f","automotivo",58.0,703.0,6.0,5250.0,47.0,19.0,23.0
"d8a405c732027a2af3187b031890933d","automotivo",50.0,361.0,1.0,200.0,35.0,4.0,26.0
"ce94e3c41145e28428cdae952a1fd7f2","relogios_presentes",58.0,899.0,2.0,335.0,17.0,11.0,12.0
"3f0f8de616df6efb39a48f3c64eea974","cama_mesa_banho",49.0,701.0,1.0,1300.0,50.0,12.0,12.0
